VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchasedQuantity,TotalPurchasedDollar,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExcisetax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
9744,FREDERICK WILDMAN & SONS,25425,La Scolca Black Label Gavi,24.82,750.0,35.99,12,297.84,431.88,35.99,12.0,1.35,3999.93,134.04,31.04,1.0,1.45,24.819999999999997,Small,0.0
9744,FREDERICK WILDMAN & SONS,25646,Marchesi Di Barolo Sbirolo N,12.41,750.0,18.99,12,148.92,227.88,151.92,12.0,1.32,3999.93,78.96,34.65,1.0,1.53,12.409999999999998,Small,0.0
9744,FREDERICK WILDMAN & SONS,35977,Jaboulet Cotes du Rhone Par,7.79,750.0,11.99,12,93.48,131.91,101.93,9.0,0.99,3999.93,38.43,29.13,0.75,1.41,7.79,Small,23.37
9815,WINE GROUP INC,6427,Glen Ellen Merlot RSV,3.42,750.0,4.99,12,41.04,59.88,4.99,12.0,1.35,27100.41,18.84,31.46,1.0,1.46,3.42,Small,0.0
9815,WINE GROUP INC,15293,Flip Flop Merlot,5.36,750.0,7.99,12,64.32,95.88,7.99,12.0,1.35,27100.41,31.56,32.92,1.0,1.49,5.359999999999999,Small,0.0
9815,WINE GROUP INC,18738,Oak Leaf Moscato,1.94,750.0,2.99,12,23.28,35.88,2.99,12.0,1.35,27100.41,12.6,35.12,1.0,1.54,1.9400000000000002,Small,0.0
9815,WINE GROUP INC,19255,Yosemite Road Red,2.28,750.0,3.49,12,27.36,52.35,24.43,15.0,1.67,27100.41,24.99,47.74,1.25,1.91,2.28,Small,-6.84
9815,WINE GROUP INC,20997,Grape & Vine Pnt Grigio,2.12,750.0,3.29,12,25.44,39.48,3.29,12.0,1.35,27100.41,14.04,35.56,1.0,1.55,2.12,Small,0.0
9815,WINE GROUP INC,22412,Harthill Farms Chard,2.46,750.0,3.79,12,29.52,45.48,3.79,12.0,1.35,27100.41,15.96,35.09,1.0,1.54,2.46,Small,0.0
9815,WINE GROUP INC,23561,Flip Flop Sangria,4.05,1000.0,5.99,12,48.6,71.88,11.98,12.0,1.8,27100.41,23.28,32.39,1.0,1.48,4.05,Small,0.0
9815,WINE GROUP INC,43354,Pinot Evil VDP Beaute Pnt Nr,4.05,750.0,6.49,12,48.6,119.88,9.99,12.0,1.35,27100.41,71.28,59.46,1.0,2.47,4.05,Small,0.0
9815,WINE GROUP INC,46664,Oak Leaf Pnt Grigio Cal,1.94,750.0,2.99,12,23.28,71.76,5.98,24.0,2.7,27100.41,48.48,67.56,2.0,3.08,1.9400000000000002,Small,-23.28
9819,TREASURY WINE ESTATES,20413,Pepperjack Barossa Red,15.99,750.0,23.99,12,191.88,191.92,119.95,8.0,0.88,14836.57,0.04,0.02,0.6666666666666666,1.0,15.99,Small,63.96
9819,TREASURY WINE ESTATES,34761,Meridian Pnt Grigio Cal,7.28,750.0,10.99,12,87.36,131.88,10.99,12.0,1.35,14836.57,44.52,33.76,1.0,1.51,7.28,Small,0.0
10000,MAJESTIC FINE WINES,25027,KJ 12 Vintners Rsv Cab Svgn,61.37,3000.0,88.99,12,736.44,1067.88,88.99,12.0,5.4,17587.59,331.44,31.04,1.0,1.45,61.370000000000005,Small,0.0
10000,MAJESTIC FINE WINES,35104,La Crema Russian Rive Pnt Nr,22.44,750.0,32.99,12,269.28,395.88,65.98,12.0,1.36,17587.59,126.6,31.98,1.0,1.47,22.439999999999998,Small,0.0
10754,PERFECTA WINES,12476,Ch Donjon Minervois Rose,10.66,750.0,15.99,12,127.92,1279.2,703.56,80.0,8.89,28720.52,1151.28,90.0,6.666666666666667,10.0,10.66,Small,-724.88
10754,PERFECTA WINES,13916,Stellar Organics Shiraz,8.96,750.0,12.99,12,107.52,155.88,12.99,12.0,1.35,28720.52,48.36,31.02,1.0,1.45,8.959999999999999,Small,0.0
10754,PERFECTA WINES,14826,My Big Fat Greek Red Wine,7.74,750.0,11.99,12,92.88,287.76,215.82,24.0,2.65,28720.52,194.88,67.72,2.0,3.1,7.739999999999999,Small,-92.88
10754,PERFECTA WINES,15001,Jubileo Meritage,6.75,750.0,9.99,12,81.0,119.88,9.99,12.0,1.35,28720.52,38.88,32.43,1.0,1.48,6.75,Small,0.0
10754,PERFECTA WINES,15688,Cheval Blanc St Emilion 08,299.99,750.0,499.99,12,3599.88,7199.84,2699.94,16.0,1.78,28720.52,3599.96,50.0,1.3333333333333333,2.0,299.99,Small,-1199.96
10754,PERFECTA WINES,16523,Calma Rioja,10.52,750.0,15.99,12,126.24,255.84,127.92,16.0,1.78,28720.52,129.6,50.66,1.3333333333333333,2.03,10.52,Small,-42.08
10754,PERFECTA WINES,16967,Trentadue Merlot Alex Vly,12.58,750.0,18.99,12,150.96,208.89,132.93,11.0,1.22,28720.52,57.93,27.73,0.9166666666666666,1.38,12.58,Small,12.58
10754,PERFECTA WINES,17407,Ch La Mission 09 HB Pessac,522.87,750.0,829.99,12,6274.44,10399.87,1599.98,13.0,1.46,28720.52,4125.43,39.67,1.0833333333333333,1.66,522.87,Small,-522.87
10754,PERFECTA WINES,18437,Charles Smith King Coal Red,65.35,750.0,99.99,12,784.2,1199.88,99.99,12.0,1.35,28720.52,415.68,34.64,1.0,1.53,65.35000000000001,Small,0.0
10754,PERFECTA WINES,18467,K Vintners Cab Svgn Stonerid,31.75,750.0,46.99,12,381.0,563.88,281.94,12.0,1.34,28720.52,182.88,32.43,1.0,1.48,31.75,Small,0.0
10754,PERFECTA WINES,20176,Dom Bousquet Malbec Gr Rsv,17.92,750.0,25.99,12,215.04,311.88,25.99,12.0,1.35,28720.52,96.84,31.05,1.0,1.45,17.919999999999998,Small,0.0
10754,PERFECTA WINES,20514,Marquis de Calon St Estephe,18.95,750.0,39.99,12,227.39999999999998,927.68,260.91,32.0,3.58,28720.52,700.28,75.49,2.6666666666666665,4.08,18.95,Small,-379.0
10754,PERFECTA WINES,21520,Merriam Cuvee Pnt Nr RRV,16.12,750.0,24.99,12,193.44,574.77,49.98,23.0,2.59,28720.52,381.33,66.34,1.9166666666666667,2.97,16.12,Small,-177.32000000000002
10754,PERFECTA WINES,21830,Buoncristiani Family Red OPC,32.25,750.0,49.99,12,387.0,1139.77,539.89,23.0,2.56,28720.52,752.77,66.05,1.9166666666666667,2.95,32.25,Small,-354.75
10754,PERFECTA WINES,22930,La Puerta Alta Malbec Bonrda,10.73,750.0,15.99,12,128.76,191.88,15.99,12.0,1.35,28720.52,63.12,32.9,1.0,1.49,10.729999999999999,Small,0.0
10754,PERFECTA WINES,23377,The Loop Svgn Bl,9.33,750.0,13.99,12,111.96,167.88,13.99,12.0,1.35,28720.52,55.92,33.31,1.0,1.5,9.33,Small,0.0
10754,PERFECTA WINES,23752,Ch Gloria St Julien 12,23.52,750.0,48.99,12,282.24,1907.47,467.87,53.0,5.94,28720.52,1625.23,85.2,4.416666666666667,6.76,23.52,Small,-964.3199999999999
10754,PERFECTA WINES,23756,Ch La Mission 12 Haut Brion,224.32,750.0,331.99,12,2691.84,4979.85,1991.94,15.0,1.69,28720.52,2288.01,45.95,1.25,1.85,224.32000000000002,Small,-672.96
10754,PERFECTA WINES,23807,Couly-Dutheil Chinon Rose,12.66,750.0,19.99,12,151.92,1219.39,859.57,61.0,6.74,28720.52,1067.47,87.54,5.083333333333333,8.03,12.659999999999998,Small,-620.34
10754,PERFECTA WINES,23962,Enzo Boglietti Dolcetto Alba,12.66,750.0,18.99,12,151.92,1255.4,877.58,60.0,6.63,28720.52,1103.48,87.9,5.0,8.26,12.659999999999998,Small,-607.6800000000001
10754,PERFECTA WINES,24159,Krupp Bros The Doctor Red,67.56,750.0,99.99,12,810.72,1999.8,899.91,20.0,2.23,28720.52,1189.08,59.46,1.6666666666666667,2.47,67.56,Small,-540.48
10754,PERFECTA WINES,24165,Enzo Boglietti Brl Case Nere,55.19,750.0,84.99,12,662.28,2124.75,1274.85,25.0,2.78,28720.52,1462.47,68.83,2.0833333333333335,3.21,55.19,Small,-717.47
10754,PERFECTA WINES,24195,Casa E Mirafiori Barb d'Alba,16.33,750.0,27.99,12,195.96,972.63,751.71,37.0,4.1,28720.52,776.67,79.85,3.0833333333333335,4.96,16.330000000000002,Small,-408.24999999999994
10754,PERFECTA WINES,24273,von Buhl Jazz Rsl,10.45,750.0,15.99,12,125.4,1359.11,1041.32,89.0,9.85,28720.52,1233.71,90.77,7.416666666666667,10.84,10.450000000000001,Small,-804.65
10754,PERFECTA WINES,24275,Becker Family Pnt Bl,11.64,750.0,18.99,12,139.68,395.78,395.78,22.0,2.42,28720.52,256.1,64.71,1.8333333333333333,2.83,11.64,Small,-116.4
10754,PERFECTA WINES,24793,Canyon Oaks Pink Moscato,3.97,750.0,5.99,12,47.64,71.88,5.99,12.0,1.35,28720.52,24.24,33.72,1.0,1.51,3.97,Small,0.0
10754,PERFECTA WINES,25020,Ch de Pierreux Brouilly Rsv,17.56,750.0,25.99,12,210.72,1681.34,1267.5,66.0,7.3,28720.52,1470.62,87.47,5.5,7.98,17.56,Small,-948.2399999999999
10754,PERFECTA WINES,25390,Xinomavro Naoussa Young Vine,10.38,750.0,15.99,12,124.56,191.88,31.98,12.0,1.36,28720.52,67.32,35.08,1.0,1.54,10.38,Small,0.0
10754,PERFECTA WINES,25401,Assyrtiko-Athiri Atlantis,10.59,750.0,15.99,12,127.08,191.88,15.99,12.0,1.35,28720.52,64.8,33.77,1.0,1.51,10.59,Small,0.0
10754,PERFECTA WINES,34397,Valckenberg Madonna Spatlese,8.78,750.0,12.99,12,105.36,155.88,12.99,12.0,1.35,28720.52,50.52,32.41,1.0,1.48,8.78,Small,0.0
10754,PERFECTA WINES,35956,Kesselstatt Schwartzhof GG,14.56,750.0,21.99,12,174.72,263.88,197.91,12.0,1.32,28720.52,89.16,33.79,1.0,1.51,14.56,Small,0.0
10754,PERFECTA WINES,36065,Ch Montrose 10,174.48,750.0,349.99,12,2093.7599999999998,5059.8,1264.95,20.0,2.25,28720.52,2966.04,58.62,1.6666666666666667,2.42,174.48,Small,-1395.84
10754,PERFECTA WINES,42933,Valckenberg Rsl,8.6,750.0,12.99,12,103.2,194.85,168.87,15.0,1.66,28720.52,91.65,47.04,1.25,1.89,8.6,Small,-25.799999999999997
10754,PERFECTA WINES,43730,Calera Ryan Vyd Pnt Nr,34.92,750.0,50.99,12,419.04,719.88,359.94,12.0,1.34,28720.52,300.84,41.79,1.0,1.72,34.92,Small,0.0
11567,CAMPARI AMERICA,4585,Coruba Rum,11.36,1000.0,14.99,12,136.32,179.88,14.99,12.0,12.6,20964.81,43.56,24.22,1.0,1.32,11.36,Small,0.0
12331,STELLAR IMPORTING CO LLC,26617,Brousko Dry Red,7.28,750.0,10.99,12,87.36,131.88,10.99,12.0,1.35,119.23,44.52,33.76,1.0,1.51,7.28,Small,0.0
12546,JIM BEAM BRANDS COMPANY,3131,Pinnacle Key Lime Whipped,9.28,750.0,12.99,12,111.36,389.7,363.72,30.0,23.68,123880.97,278.34,71.42,2.5,3.5,9.28,Small,-167.04
12546,JIM BEAM BRANDS COMPANY,3561,Pinnacle Cinnabon Vodka,7.74,750.0,9.99,12,92.88,155.88,12.99,12.0,9.45,123880.97,63.0,40.42,1.0,1.68,7.739999999999999,Small,0.0
12546,JIM BEAM BRANDS COMPANY,4043,Calico Jack Cherry Rum,12.14,1750.0,16.99,12,145.68,203.88,16.99,12.0,22.05,123880.97,58.2,28.55,1.0,1.4,12.14,Small,0.0
12546,JIM BEAM BRANDS COMPANY,4208,Conch Republic Dark Rum,9.05,1750.0,12.49,12,108.6,224.82,74.94,18.0,33.07,123880.97,116.22,51.69,1.5,2.07,9.049999999999999,Small,-54.300000000000004
12546,JIM BEAM BRANDS COMPANY,5837,Leroux Cherry Brandy,6.24,750.0,7.99,12,74.88,95.88,87.89,12.0,9.47,123880.97,21.0,21.9,1.0,1.28,6.239999999999999,Small,0.0
12546,JIM BEAM BRANDS COMPANY,8119,Pinnacle Grape Vodka,10.39,750.0,12.99,12,124.68,207.84,207.84,16.0,12.64,123880.97,83.16,40.01,1.3333333333333333,1.67,10.39,Small,-41.56
17035,PERNOD RICARD USA,176,Seagrams Twisted Lime Gin,13.59,1750.0,16.99,12,163.08,203.88,33.98,12.0,22.04,123780.22,40.8,20.01,1.0,1.25,13.590000000000002,Small,0.0
17037,Dunn Wine Brokers,20653,Natale Verga Prosecco,7.04,750.0,16.99,12,84.48,146.86,31.47,14.0,1.57,358.03,62.38,42.48,1.1666666666666667,1.74,7.04,Small,-14.08
90010,VINEXTRA INC,18127,Esporao Reserva Red Alentejo,16.77,750.0,24.99,12,201.24,299.88,24.99,12.0,1.35,524.94,98.64,32.89,1.0,1.49,16.77,Small,0.0
90010,VINEXTRA INC,18536,Andrew Will Two Blondes WA,44.66,750.0,66.99,12,535.92,803.88,66.99,12.0,1.35,524.94,267.96,33.33,1.0,1.5,44.66,Small,0.0
90010,VINEXTRA INC,21654,Ch Valcombe Rose Ventoux,10.52,750.0,15.99,12,126.24,223.86,159.9,14.0,1.54,524.94,97.62,43.61,1.1666666666666667,1.77,10.52,Small,-21.04
90010,VINEXTRA INC,24734,Dom Piquemal Cotes du Roussi,10.34,750.0,14.99,12,124.08,359.76,29.98,24.0,2.7,524.94,235.68,65.51,2.0,2.9,10.34,Small,-124.08
90010,VINEXTRA INC,25688,Quinta dos Murcas Rsv Red Al,27.99,750.0,41.99,12,335.88,503.88,41.99,12.0,1.35,524.94,168.0,33.34,1.0,1.5,27.99,Small,0.0
90011,FORTUNE WINE BROKERS LLC,13276,Finca Abril Rapsodia Malbec,12.66,750.0,18.99,12,151.92,187.9,54.97,10.0,1.12,238.61,35.98,19.15,0.8333333333333334,1.24,12.659999999999998,Small,25.32
90011,FORTUNE WINE BROKERS LLC,21377,Circa Rosso,8.72,750.0,12.99,12,104.64,116.91,64.95,9.0,1.0,238.61,12.27,10.5,0.75,1.12,8.72,Small,26.160000000000004
90011,FORTUNE WINE BROKERS LLC,40757,Casa Julia Merlot Rapel,8.05,750.0,11.99,12,96.6,215.82,83.93,18.0,2.01,238.61,119.22,55.24,1.5,2.23,8.049999999999999,Small,-48.300000000000004
90011,FORTUNE WINE BROKERS LLC,46147,Calandray RSV Cotes Roussiln,11.68,750.0,17.99,12,140.16,215.88,17.99,12.0,1.35,238.61,75.72,35.08,1.0,1.54,11.68,Small,0.0
90011,FORTUNE WINE BROKERS LLC,46333,Echeverria Ltd Edtn Cab Svgn,19.3,750.0,28.99,12,231.6,492.83,347.88,17.0,1.88,238.61,261.23,53.01,1.4166666666666667,2.13,19.3,Small,-96.5
90017,THE IMPORTED GRAPE LLC,14959,Tutunjian Cab Svgn,10.12,750.0,15.49,12,121.44,185.88,15.49,12.0,1.35,80.03,64.44,34.67,1.0,1.53,10.12,Small,0.0
90017,THE IMPORTED GRAPE LLC,25549,Alisios Pinot Grigio,6.66,750.0,9.99,12,79.92,119.88,9.99,12.0,1.35,80.03,39.96,33.33,1.0,1.5,6.66,Small,0.0
90017,THE IMPORTED GRAPE LLC,25745,Riojana Chard,5.17,750.0,7.49,12,62.04,89.88,7.49,12.0,1.35,80.03,27.84,30.97,1.0,1.45,5.17,Small,0.0
90017,THE IMPORTED GRAPE LLC,42794,Penalolen Cab Svgn Maipo,12.75,750.0,18.49,12,153.0,221.88,18.49,12.0,1.35,80.03,68.88,31.04,1.0,1.45,12.75,Small,0.0
90024,VINILANDIA USA,14697,Ch Musar Jeune Rouge,13.6,750.0,19.99,12,163.2,239.88,19.99,12.0,1.35,2802.64,76.68,31.97,1.0,1.47,13.6,Small,0.0
90024,VINILANDIA USA,15647,Tortoise Creek Znfdl,8.21,750.0,11.99,12,98.52,143.88,11.99,12.0,1.35,2802.64,45.36,31.53,1.0,1.46,8.209999999999999,Small,0.0
90024,VINILANDIA USA,16210,Inman Family Pnt Nr RRV Sono,19.04,750.0,27.99,12,228.48,335.88,27.99,12.0,1.35,2802.64,107.4,31.98,1.0,1.47,19.04,Small,0.0
90024,VINILANDIA USA,16369,Tiki Sound Svgn Bl,8.78,750.0,12.99,12,105.36,326.71,146.86,29.0,3.23,2802.64,221.35,67.75,2.4166666666666665,3.1,8.78,Small,-149.26
90024,VINILANDIA USA,19284,The Curator White,6.7,750.0,9.99,12,80.4,119.88,9.99,12.0,1.35,2802.64,39.48,32.93,1.0,1.49,6.7,Small,0.0
90024,VINILANDIA USA,21213,Volcanes Summit Series Cab S,8.49,750.0,12.99,12,101.88,143.88,11.99,12.0,1.35,2802.64,42.0,29.19,1.0,1.41,8.49,Small,0.0
90024,VINILANDIA USA,22590,Ch Motte Maucourt Brdx,9.8,750.0,14.99,12,117.6,179.88,14.99,12.0,1.35,2802.64,62.28,34.62,1.0,1.53,9.799999999999999,Small,0.0
90024,VINILANDIA USA,26304,Brooks Runaway Red,14.47,750.0,21.99,12,173.64,263.88,21.99,12.0,1.35,2802.64,90.24,34.2,1.0,1.52,14.469999999999999,Small,0.0
90024,VINILANDIA USA,27089,Ch Perron Brdx Rouge,14.56,750.0,21.99,12,174.72,263.88,21.99,12.0,1.35,2802.64,89.16,33.79,1.0,1.51,14.56,Small,0.0
90024,VINILANDIA USA,27499,Pot de Vin Rouge Organic,10.2,750.0,14.99,12,122.4,179.88,14.99,12.0,1.35,2802.64,57.48,31.95,1.0,1.47,10.200000000000001,Small,0.0
90024,VINILANDIA USA,44764,Poggio Amorelli Chianti Clsc,12.49,750.0,18.99,12,149.88,455.76,37.98,24.0,2.7,2802.64,305.88,67.11,2.0,3.04,12.49,Small,-149.88
90037,THE PIERPONT GROUP LLC,20784,Proemio Chard,5.95,750.0,8.99,12,71.4,325.62,149.83,38.0,4.24,27.98,254.22,78.07,3.1666666666666665,4.56,5.95,Small,-154.70000000000002
90037,THE PIERPONT GROUP LLC,20787,Proemio Malbec,5.22,750.0,7.99,12,62.64,95.88,7.99,12.0,1.35,27.98,33.24,34.67,1.0,1.53,5.22,Small,0.0
90047,CRUSH WINES,11801,Arabella Chard,7.28,750.0,10.99,12,87.36,131.88,10.99,12.0,1.35,1457.73,44.52,33.76,1.0,1.51,7.28,Small,0.0
90047,CRUSH WINES,12783,Il Colle Prosecco Brut,11.72,750.0,16.99,12,140.64,203.88,16.99,12.0,1.35,1457.73,63.24,31.02,1.0,1.45,11.719999999999999,Small,0.0
90047,CRUSH WINES,13592,Bliss Merlot,9.39,750.0,13.99,12,112.68,167.88,13.99,12.0,1.35,1457.73,55.2,32.88,1.0,1.49,9.39,Small,0.0
90047,CRUSH WINES,15775,Paul D Gruner Veltliner,9.35,1000.0,14.49,12,112.2,173.88,14.49,12.0,1.8,1457.73,61.68,35.47,1.0,1.55,9.35,Small,0.0
90047,CRUSH WINES,16311,Mollydooker Gigglepot Cab Sv,29.79,750.0,44.99,12,357.48,479.88,39.99,12.0,1.35,1457.73,122.4,25.51,1.0,1.34,29.790000000000003,Small,0.0
90047,CRUSH WINES,17298,Anton Bauer Gmork Rose,9.14,750.0,13.99,12,109.68,167.88,13.99,12.0,1.35,1457.73,58.2,34.67,1.0,1.53,9.14,Small,0.0
90047,CRUSH WINES,18548,Carol Shelton Wild Thing Zin,8.76,375.0,13.49,12,105.12,134.9,94.43,10.0,0.58,1457.73,29.78,22.08,0.8333333333333334,1.28,8.76,Small,17.52
90047,CRUSH WINES,18773,Ravines Cabernet Franc,8.21,750.0,17.99,12,98.52,409.75,281.83,25.0,2.76,1457.73,311.23,75.96,2.0833333333333335,4.16,8.209999999999999,Small,-106.73000000000002
90047,CRUSH WINES,22012,Vieux Clocher Chateauneuf Du,23.8,750.0,34.99,12,285.6,944.73,664.81,27.0,3.0,1457.73,659.13,69.77,2.25,3.31,23.8,Small,-357.0
90047,CRUSH WINES,22324,Hillinger Leitheberg Blaufra,19.73,750.0,30.99,12,236.76,259.87,110.95,13.0,1.45,1457.73,23.11,8.89,1.0833333333333333,1.1,19.73,Small,-19.73
90047,CRUSH WINES,22659,Iron Horse Wedding Cuvee,24.34,750.0,38.99,12,292.08,350.91,311.92,9.0,0.99,1457.73,58.83,16.76,0.75,1.2,24.34,Small,73.02
90047,CRUSH WINES,22839,Tomada de Castro Albarino,11.99,750.0,17.99,12,143.88,215.88,89.95,12.0,1.34,1457.73,72.0,33.35,1.0,1.5,11.99,Small,0.0
90047,CRUSH WINES,23843,Kistler Hyde Chard,48.02,750.0,72.99,12,576.24,875.88,72.99,12.0,1.35,1457.73,299.64,34.21,1.0,1.52,48.02,Small,0.0
90047,CRUSH WINES,26324,Elizabeth Rose Pnt Nr,13.07,750.0,19.99,12,156.84,239.88,19.99,12.0,1.35,1457.73,83.04,34.62,1.0,1.53,13.07,Small,0.0
90047,CRUSH WINES,26327,Cellier des Dauphines CdR,5.29,750.0,7.99,12,63.48,95.88,7.99,12.0,1.35,1457.73,32.4,33.79,1.0,1.51,5.29,Small,0.0
480,BACARDI USA INC,3461,Corzo Silver Tequila,39.99,750.0,49.99,13,519.87,699.86,449.91,14.0,11.04,89286.27,179.99,25.72,1.0769230769230769,1.35,39.99,Small,-39.99
653,STATE WINE & SPIRITS,2719,Full Throttle Apple Whiskey,15.5,750.0,19.99,13,201.5,1439.28,999.5,72.0,56.8,8014.98,1237.78,86.0,5.538461538461538,7.14,15.5,Small,-914.5
1128,BROWN-FORMAN CORP,1051,Woodford Reserve MC 1838,74.62,750.0,99.99,13,970.0600000000001,8329.11,7219.23,89.0,70.24,68601.68,7359.05,88.35,6.846153846153846,8.59,74.62,Small,-5671.120000000001
1587,VINEYARD BRANDS INC,16795,Salon Brut Bl de Bl 97,189.54,750.0,289.99,13,2464.02,5219.82,2899.9,18.0,2.02,6070.09,2755.8,52.79,1.3846153846153846,2.12,189.54,Small,-947.6999999999999
2000,SOUTHERN WINE & SPIRITS NE,1248,Tullibardine Sauterne Finish,47.44,750.0,64.99,13,616.72,2794.57,2079.68,43.0,33.94,19016.59,2177.85,77.93,3.3076923076923075,4.53,47.440000000000005,Small,-1423.1999999999998
2000,SOUTHERN WINE & SPIRITS NE,16321,Atlas Peak Cab Svgn,16.88,750.0,25.99,13,219.44,559.84,209.94,16.0,1.79,19016.59,340.4,60.8,1.2307692307692308,2.55,16.88,Small,-50.64
2000,SOUTHERN WINE & SPIRITS NE,21031,Shannon Ridge Chard HE Lake,10.38,750.0,15.99,13,134.94,335.79,159.9,21.0,2.34,19016.59,200.85,59.81,1.6153846153846154,2.49,10.379999999999999,Small,-83.04
2000,SOUTHERN WINE & SPIRITS NE,23293,Ch Pavie Macquin St Emiln 11,55.03,750.0,81.99,13,715.39,2213.73,1229.85,27.0,3.0,19016.59,1498.34,67.68,2.076923076923077,3.09,55.03,Small,-770.4200000000001
2000,SOUTHERN WINE & SPIRITS NE,23334,Ch Lalande Borie 11 Julien,20.64,750.0,31.99,13,268.32,1471.54,767.76,46.0,5.1,19016.59,1203.22,81.77,3.5384615384615383,5.48,20.64,Small,-681.12
3252,E & J GALLO WINERY,43548,Carlo Rossi RSV Wh Znfdl Cal,10.95,4000.0,15.99,13,142.35,239.85,95.94,15.0,9.0,61966.91,97.5,40.65,1.1538461538461537,1.68,10.95,Small,-21.9
3960,DIAGEO NORTH AMERICA INC,6199,Zwack Liqueur,14.61,750.0,18.99,13,189.93,227.88,94.95,12.0,9.44,257032.07,37.95,16.65,0.9230769230769231,1.2,14.610000000000001,Small,14.61
4425,MARTIGNETTI COMPANIES,1997,Charles Goodnight Bourbon,30.93,750.0,42.99,13,402.09000000000003,2951.31,2263.47,69.0,54.42,144929.24,2549.22,86.38,5.3076923076923075,7.34,30.930000000000003,Small,-1732.08
4425,MARTIGNETTI COMPANIES,16694,Adissat Cotes du Rhone,9.93,750.0,14.99,13,129.09,1244.17,1019.32,83.0,9.15,144929.24,1115.08,89.62,6.384615384615385,9.64,9.93,Small,-695.1
4425,MARTIGNETTI COMPANIES,18046,Ch La Louviere Pssc-Leg Roug,17.44,750.0,43.99,13,226.72,727.72,259.9,28.0,3.14,144929.24,501.0,68.85,2.1538461538461537,3.21,17.44,Small,-261.6
4425,MARTIGNETTI COMPANIES,18098,Shafer Hillside Cab Svgn,157.89,750.0,239.99,13,2052.5699999999997,7594.69,4654.81,31.0,3.45,144929.24,5542.12,72.97,2.3846153846153846,3.7,157.89,Small,-2842.0199999999995
4425,MARTIGNETTI COMPANIES,18130,Castello Di Ama Chianti,24.83,750.0,36.99,13,322.78999999999996,3107.16,1997.46,84.0,9.31,144929.24,2784.37,89.61,6.461538461538462,9.63,24.83,Small,-1762.9299999999998
4425,MARTIGNETTI COMPANIES,22644,Gaston & Ravaut Bourgn Chard,18.91,750.0,27.99,13,245.83,699.75,307.89,25.0,2.78,144929.24,453.92,64.87,1.9230769230769231,2.85,18.91,Small,-226.92000000000002
4425,MARTIGNETTI COMPANIES,23078,Sbragia Home Ranch Merlot,14.19,750.0,21.99,13,184.47,549.75,197.91,25.0,2.79,144929.24,365.28,66.44,1.9230769230769231,2.98,14.19,Small,-170.28
4425,MARTIGNETTI COMPANIES,23195,Gary Farrell RRV Pnt Nr,27.58,750.0,39.99,13,358.53999999999996,2319.42,1079.73,58.0,6.46,144929.24,1960.88,84.54,4.461538461538462,6.47,27.58,Small,-1241.1
4425,MARTIGNETTI COMPANIES,24993,Tardieu Laurent Le Becs Fins,12.92,750.0,18.99,13,167.95999999999998,2221.83,1500.21,117.0,12.98,144929.24,2053.87,92.44,9.0,13.23,12.919999999999998,Small,-1343.68
4425,MARTIGNETTI COMPANIES,25004,Tenuta Sette Cieli Yantra,14.56,750.0,21.99,13,189.28,725.67,505.77,33.0,3.66,144929.24,536.39,73.92,2.5384615384615383,3.83,14.56,Small,-291.2
4425,MARTIGNETTI COMPANIES,25467,Schug Cab Svgn,17.23,750.0,24.99,13,223.98999999999998,4523.19,3073.77,181.0,20.01,144929.24,4299.2,95.05,13.923076923076923,20.19,17.229999999999997,Small,-2894.64
4425,MARTIGNETTI COMPANIES,43134,Two Hands Bella Gardn Shiraz,46.05,750.0,69.99,13,598.65,5039.28,3219.54,72.0,7.96,144929.24,4440.63,88.12,5.538461538461538,8.42,46.05,Small,-2716.95
4425,MARTIGNETTI COMPANIES,44098,Rocca di Montemassi Le Faca,4.79,750.0,6.99,13,62.269999999999996,90.87,34.95,13.0,1.46,144929.24,28.6,31.47,1.0,1.46,4.79,Small,0.0
4550,KLIN SPIRITS LLC,4289,Silver Root Marley Rum,10.78,750.0,14.99,13,140.14,764.49,584.61,51.0,40.24,531.5,624.35,81.67,3.923076923076923,5.46,10.78,Small,-409.64
4692,KOBRAND CORPORATION,24727,Nardi Brunllo d Montlcino 10,34.86,750.0,52.99,13,453.18,2649.5,1271.76,50.0,5.59,9139.38,2196.32,82.9,3.8461538461538463,5.85,34.86,Small,-1289.82
4692,KOBRAND CORPORATION,24728,Nardi Rosso di Montalcino 13,15.06,750.0,21.99,13,195.78,1319.4,769.65,60.0,6.66,9139.38,1123.62,85.16,4.615384615384615,6.74,15.06,Small,-707.82
4950,LATITUDE BEVERAGE COMPANY,19817,Ninety Cellars Lot 92 Merlot,7.14,750.0,10.99,13,92.82000000000001,142.87,76.93,13.0,1.45,1610.0,50.05,35.03,1.0,1.54,7.140000000000001,Small,0.0
5992,MCCORMICK DISTILLING CO,650,McCormick Cherry Vodka,5.07,1000.0,6.99,13,65.91,188.73,146.79,27.0,28.35,1567.85,122.82,65.08,2.076923076923077,2.86,5.069999999999999,Small,-70.98
