VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchasedQuantity,TotalPurchasedDollar,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExcisetax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
10754,PERFECTA WINES,35290,Vampire Transylvania Merlot,4.27,750.0,11.99,2,8.54,227.15,77.88,35.0,3.91,28720.52,218.61,96.24,17.5,26.6,4.27,Small,-140.91
10754,PERFECTA WINES,36079,Ch Giscours 10,54.3,750.0,112.99,2,108.6,1393.83,655.92,17.0,1.9,28720.52,1285.23,92.21,8.5,12.83,54.3,Small,-814.5
12546,JIM BEAM BRANDS COMPANY,3250,Pinnacle Cake Vodka,7.41,750.0,12.99,2,14.82,85.41,37.96,9.0,7.09,123880.97,70.59,82.65,4.5,5.76,7.41,Small,-51.870000000000005
17031,FLAG HILL WINERY & VINEYARD,37398,Flag Hill Heritage Rd NH,8.61,375.0,12.49,2,17.22,49.96,37.47,4.0,0.23,1573.31,32.74,65.53,2.0,2.9,8.61,Small,-17.22
17035,PERNOD RICARD USA,1492,The Glenlivet Oloroso Nadu,58.59,750.0,79.99,2,117.18,794.9,794.9,10.0,7.9,123780.22,677.72,85.26,5.0,6.78,58.59,Small,-468.72
17035,PERNOD RICARD USA,15954,Jacobs Crk Moscato Rose,7.23,750.0,14.99,2,14.46,89.94,74.95,6.0,0.66,123780.22,75.48,83.92,3.0,6.22,7.23,Small,-28.92
90011,FORTUNE WINE BROKERS LLC,17358,Ch de Bonhoste Red Brdx 09,10.73,750.0,16.99,2,21.46,101.94,101.94,6.0,0.66,238.61,80.48,78.95,3.0,4.75,10.73,Small,-42.92
90047,CRUSH WINES,15589,Right Hand Man Syrah,11.68,750.0,17.99,2,23.36,37.98,37.98,2.0,0.22,1457.73,14.62,38.49,1.0,1.63,11.68,Small,0.0
90047,CRUSH WINES,20776,JM Gobillard Tradition Brut,23.33,750.0,39.99,2,46.66,199.95,159.96,5.0,0.55,1457.73,153.29,76.66,2.5,4.29,23.33,Small,-69.99
90047,CRUSH WINES,25464,Eden Rose Cider Keg,163.31,20000.0,251.49,2,326.62,502.98,502.98,2.0,6.0,1457.73,176.36,35.06,1.0,1.54,163.31,Small,0.0
98450,Serralles Usa LLC,267,Don Q Coco Coconut Rum,10.39,1000.0,12.99,2,20.78,77.94,25.98,6.0,6.3,856.02,57.16,73.34,3.0,3.75,10.39,Small,-41.56
480,BACARDI USA INC,2502,Dewars Wh Label & Honey 2 Pk,26.92,750.0,34.99,3,80.76,3429.02,2204.37,98.0,77.27,89286.27,3348.26,97.64,32.666666666666664,42.46,26.92,Small,-2557.4
653,STATE WINE & SPIRITS,324,Rothman & Winter Apricot,16.29,750.0,21.99,3,48.87,65.97,43.98,3.0,2.36,8014.98,17.1,25.92,1.0,1.35,16.29,Small,0.0
653,STATE WINE & SPIRITS,20165,Bonal Apertif,12.25,750.0,18.99,3,36.75,56.97,37.98,3.0,0.33,8014.98,20.22,35.49,1.0,1.55,12.25,Small,0.0
653,STATE WINE & SPIRITS,20333,Mommy's Time Out Delicious R,7.18,750.0,10.99,3,21.54,65.94,43.96,6.0,0.67,8014.98,44.4,67.33,2.0,3.06,7.18,Small,-21.54
653,STATE WINE & SPIRITS,20466,Pali Wine Co Pnt Nr Fiddlstx,40.81,750.0,59.99,3,122.43,419.93,239.96,7.0,0.78,8014.98,297.5,70.85,2.3333333333333335,3.43,40.81,Small,-163.24
1128,BROWN-FORMAN CORP,1032,Woodford Rsv MC Classic Malt,70.86,750.0,89.99,3,212.58,789.92,489.95,8.0,6.3,68601.68,577.34,73.09,2.6666666666666665,3.72,70.86,Small,-354.3
1128,BROWN-FORMAN CORP,1260,Old Forester Birthday 2016,71.99,750.0,89.99,3,215.97,269.97,269.97,3.0,2.37,68601.68,54.0,20.0,1.0,1.25,71.99,Small,0.0
1392,CONSTELLATION BRANDS INC,18419,Mark West Pnt Nr Santa Lucia,7.94,750.0,14.99,3,23.82,409.72,190.88,28.0,3.13,79528.99,385.9,94.19,9.333333333333334,17.2,7.94,Small,-198.5
1392,CONSTELLATION BRANDS INC,25767,Franciscan Est Cab Svgn Napa,66.66,3000.0,99.99,3,199.98,379.97,379.97,3.0,1.35,79528.99,179.99,47.37,1.0,1.9,66.66,Small,0.0
2000,SOUTHERN WINE & SPIRITS NE,1215,Tullibardine Sherry Finish,50.77,750.0,64.99,3,152.31,3509.46,3379.48,54.0,42.64,19016.59,3357.15,95.66,18.0,23.04,50.77,Small,-2589.27
2000,SOUTHERN WINE & SPIRITS NE,19694,Ch Pichon Longueville Rsv Co,49.01,750.0,74.99,3,147.03,2099.72,1424.81,28.0,3.11,19016.59,1952.69,93.0,9.333333333333334,14.28,49.01,Small,-1225.25
2000,SOUTHERN WINE & SPIRITS NE,19841,Ch Clos Fourtet 10 Brdx,114.83,750.0,177.99,3,344.49,533.97,177.99,3.0,0.34,19016.59,189.48,35.49,1.0,1.55,114.83,Small,0.0
2000,SOUTHERN WINE & SPIRITS NE,19966,Ch Alter Ego 10 Brdx,83.89,750.0,124.99,3,251.67,2249.82,624.95,18.0,2.02,19016.59,1998.15,88.81,6.0,8.94,83.89,Small,-1258.35
2000,SOUTHERN WINE & SPIRITS NE,19967,Ch Branaire Ducru 10 Brdx,85.13,750.0,125.99,3,255.39,5417.57,2141.83,43.0,4.8,19016.59,5162.18,95.29,14.333333333333334,21.21,85.13,Small,-3405.2
2000,SOUTHERN WINE & SPIRITS NE,19968,Ch Clerc Milon 10,85.71,750.0,125.99,3,257.13,3023.76,1889.85,24.0,2.66,19016.59,2766.63,91.5,8.0,11.76,85.71,Small,-1799.9099999999999
2000,SOUTHERN WINE & SPIRITS NE,20055,Ch Haut Bailey 10 Brdx,151.72,750.0,219.99,3,455.16,1979.91,879.96,9.0,1.01,19016.59,1524.75,77.01,3.0,4.35,151.72,Small,-910.3199999999999
2000,SOUTHERN WINE & SPIRITS NE,20060,Ch Troplong Mondot 10 Brdx,159.99,750.0,239.99,3,479.97,719.97,239.99,3.0,0.34,19016.59,240.0,33.33,1.0,1.5,159.99,Small,0.0
2000,SOUTHERN WINE & SPIRITS NE,20067,Ch Bellevue Mondotte 10 Brdx,353.73,750.0,519.99,3,1061.19,1559.97,519.99,3.0,0.34,19016.59,498.78,31.97,1.0,1.47,353.73,Small,0.0
2000,SOUTHERN WINE & SPIRITS NE,23281,Ch Lafitite Rothschild Pa 11,637.58,750.0,949.99,3,1912.74,8549.91,1899.98,9.0,1.02,19016.59,6637.17,77.63,3.0,4.47,637.58,Small,-3825.4800000000005
2000,SOUTHERN WINE & SPIRITS NE,23331,Ch Ducru Beaucaillou 11 Jul,98.68,750.0,149.99,3,296.04,1499.9,449.97,10.0,1.13,19016.59,1203.86,80.26,3.3333333333333335,5.07,98.68,Small,-690.76
2000,SOUTHERN WINE & SPIRITS NE,23332,Ch Haut Beausejour 11 Esteph,17.99,750.0,26.99,3,53.97,809.7,485.82,30.0,3.33,19016.59,755.73,93.33,10.0,15.0,17.99,Small,-485.72999999999996
2000,SOUTHERN WINE & SPIRITS NE,23335,Ch Leoville Las Cases 11 Jul,133.33,750.0,199.99,3,399.99,1999.9,799.96,10.0,1.12,19016.59,1599.91,80.0,3.3333333333333335,5.0,133.33,Small,-933.3100000000001
2000,SOUTHERN WINE & SPIRITS NE,23494,Ch Doisy-Daene Sauternes 11,20.13,375.0,29.99,3,60.39,419.86,149.95,14.0,0.79,19016.59,359.47,85.62,4.666666666666667,6.95,20.13,Small,-221.42999999999998
2496,DUGGANS DISTILLED PRODUCTS,2976,Islay Mist 8 Yr Old Scotch,11.59,750.0,17.99,3,34.77,213.87,101.94,13.0,10.23,939.27,179.1,83.74,4.333333333333333,6.15,11.590000000000002,Small,-115.9
3960,DIAGEO NORTH AMERICA INC,648,Tanqueray Rangpur Gin,19.99,1000.0,27.99,3,59.97,83.97,83.97,3.0,3.15,257032.07,24.0,28.58,1.0,1.4,19.99,Small,0.0
4425,MARTIGNETTI COMPANIES,11917,Ch de Beaucastel Pape Rouge,137.33,1500.0,205.99,3,411.99,823.96,411.98,4.0,0.9,144929.24,411.97,50.0,1.3333333333333333,2.0,137.33,Small,-137.33
4425,MARTIGNETTI COMPANIES,12333,Dom Leflaive Merslt 07 d'Ane,53.01,750.0,78.99,3,159.03,236.97,78.99,3.0,0.34,144929.24,77.94,32.89,1.0,1.49,53.01,Small,0.0
4425,MARTIGNETTI COMPANIES,18424,Poggio Altero Antico Brunllo,37.01,750.0,82.99,3,111.03,1025.82,569.9,18.0,2.01,144929.24,914.79,89.18,6.0,9.24,37.01,Small,-555.15
4425,MARTIGNETTI COMPANIES,19783,Penfolds Bin 169 Cab Svgn,230.26,750.0,349.99,3,690.78,1399.96,699.98,4.0,0.45,144929.24,709.18,50.66,1.3333333333333333,2.03,230.26,Small,-230.26
4425,MARTIGNETTI COMPANIES,21216,Il Poggione Monalcino Rsv 07,74.49,750.0,110.99,3,223.47,2552.77,1220.89,23.0,2.57,144929.24,2329.3,91.25,7.666666666666667,11.42,74.49,Small,-1489.8
